_id,No.,Date,Organization,Number_Passenger,Note
6033,6033,13/10/2024,MRT Pink Line,"35,950",
6034,6034,13/10/2024,BTS Green Line,"513,636",
6035,6035,13/10/2024,BTS Gold Line,"8,704",
6036,6036,14/10/2024,SRT,"88,395",
6037,6037,14/10/2024,ARL,"50,074",
6038,6038,14/10/2024,Red Line,"24,875",
6039,6039,14/10/2024,MRT Blue Line,"271,099",
6040,6040,14/10/2024,MRT Purple Line,"37,351",
6041,6041,14/10/2024,MRT Yellow Line,"25,586",
6042,6042,14/10/2024,MRT Pink Line,"33,237",
6043,6043,14/10/2024,BTS Green Line,"449,801",
6044,6044,14/10/2024,BTS Gold Line,"6,748",
6045,6045,15/10/2024,SRT,"83,109",
6046,6046,15/10/2024,ARL,"74,446",
6047,6047,15/10/2024,Red Line,"39,575",
6048,6048,15/10/2024,MRT Blue Line,"513,025",
6049,6049,15/10/2024,MRT Purple Line,"82,912",
6050,6050,15/10/2024,MRT Yellow Line,"44,460",
6051,6051,15/10/2024,MRT Pink Line,"63,276",
6052,6052,15/10/2024,BTS Green Line,"779,577",
6053,6053,15/10/2024,BTS Gold Line,"6,009",
6054,6054,16/10/2024,SRT,"79,424",
6055,6055,16/10/2024,ARL,"72,967",
6056,6056,16/10/2024,Red Line,"38,110",
6057,6057,16/10/2024,MRT Blue Line,"502,914",
6058,6058,16/10/2024,MRT Purple Line,"80,633",
6059,6059,16/10/2024,MRT Yellow Line,"44,926",
6060,6060,16/10/2024,MRT Pink Line,"60,741",
6061,6061,16/10/2024,BTS Green Line,"756,444",
6062,6062,16/10/2024,BTS Gold Line,"6,281",
6063,6063,17/10/2024,SRT,"75,414",
6064,6064,17/10/2024,ARL,"73,844",
6065,6065,17/10/2024,Red Line,"37,829",
6066,6066,17/10/2024,MRT Blue Line,"505,576",
6067,6067,17/10/2024,MRT Purple Line,"80,277",
6068,6068,17/10/2024,MRT Yellow Line,"46,449",
6069,6069,17/10/2024,MRT Pink Line,"61,421",
6070,6070,17/10/2024,BTS Green Line,"750,204",
6071,6071,17/10/2024,BTS Gold Line,"6,227",
6072,6072,18/10/2024,SRT,"82,360",
6073,6073,18/10/2024,ARL,"78,344",
6074,6074,18/10/2024,Red Line,"41,175",
6075,6075,18/10/2024,MRT Blue Line,"536,327",
6076,6076,18/10/2024,MRT Purple Line,"81,832",
6077,6077,18/10/2024,MRT Yellow Line,"52,759",
6078,6078,18/10/2024,MRT Pink Line,"66,360",
6079,6079,18/10/2024,BTS Green Line,"793,273",
6080,6080,18/10/2024,BTS Gold Line,"9,528",
6081,6081,19/10/2024,SRT,"79,317",
6082,6082,19/10/2024,ARL,"57,118",
6083,6083,19/10/2024,Red Line,"29,100",
6084,6084,19/10/2024,MRT Blue Line,"383,362",
6085,6085,19/10/2024,MRT Purple Line,"48,428",
6086,6086,19/10/2024,MRT Yellow Line,"35,933",
6087,6087,19/10/2024,MRT Pink Line,"44,034",
6088,6088,19/10/2024,BTS Green Line,"600,581",
6089,6089,19/10/2024,BTS Gold Line,"9,336",
6090,6090,20/10/2024,SRT,"82,055",
6091,6091,20/10/2024,ARL,"50,192",
6092,6092,20/10/2024,Red Line,"26,109",
6093,6093,20/10/2024,MRT Blue Line,"309,982",
6094,6094,20/10/2024,MRT Purple Line,"39,232",
6095,6095,20/10/2024,MRT Yellow Line,"29,659",
6096,6096,20/10/2024,MRT Pink Line,"35,349",
6097,6097,20/10/2024,BTS Green Line,"492,526",
6098,6098,20/10/2024,BTS Gold Line,"7,137",
6099,6099,21/10/2024,SRT,"81,356",
6100,6100,21/10/2024,ARL,"70,530",
6101,6101,21/10/2024,Red Line,"36,566",
6102,6102,21/10/2024,MRT Blue Line,"456,330",
6103,6103,21/10/2024,MRT Purple Line,"76,202",
6104,6104,21/10/2024,MRT Yellow Line,"46,187",
6105,6105,21/10/2024,MRT Pink Line,"59,568",
6106,6106,21/10/2024,BTS Green Line,"697,025",
6107,6107,21/10/2024,BTS Gold Line,"6,339",
6108,6108,22/10/2024,SRT,"78,706",
6109,6109,22/10/2024,ARL,"74,007",
6110,6110,22/10/2024,Red Line,"37,452",
6111,6111,22/10/2024,MRT Blue Line,"483,992",
6112,6112,22/10/2024,MRT Purple Line,"78,566",
6113,6113,22/10/2024,MRT Yellow Line,"46,274",
6114,6114,22/10/2024,MRT Pink Line,"62,060",
6115,6115,22/10/2024,BTS Green Line,"757,435",
6116,6116,22/10/2024,BTS Gold Line,"6,480",
6117,6117,23/10/2024,SRT,"70,980",
6118,6118,23/10/2024,ARL,"45,081",
6119,6119,23/10/2024,Red Line,"21,842",
6120,6120,23/10/2024,MRT Blue Line,"245,159",
6121,6121,23/10/2024,MRT Purple Line,"36,332",
6122,6122,23/10/2024,MRT Yellow Line,"27,740",
6123,6123,23/10/2024,MRT Pink Line,"33,363",
6124,6124,23/10/2024,BTS Green Line,"484,529",
6125,6125,23/10/2024,BTS Gold Line,"7,248",
6126,6126,24/10/2024,SRT,"76,654",
6127,6127,24/10/2024,ARL,"72,245",
6128,6128,24/10/2024,Red Line,"36,341",
6129,6129,24/10/2024,MRT Blue Line,"458,484",
6130,6130,24/10/2024,MRT Purple Line,"76,989",
6131,6131,24/10/2024,MRT Yellow Line,"45,233",
6132,6132,24/10/2024,MRT Pink Line,"58,137",
6133,6133,24/10/2024,BTS Green Line,"728,700",
6134,6134,24/10/2024,BTS Gold Line,"6,010",
6135,6135,25/10/2024,SRT,"84,575",
6136,6136,25/10/2024,ARL,"75,030",
6137,6137,25/10/2024,Red Line,"39,250",
6138,6138,25/10/2024,MRT Blue Line,"494,481",
6139,6139,25/10/2024,MRT Purple Line,"78,751",
6140,6140,25/10/2024,MRT Yellow Line,"48,368",
6141,6141,25/10/2024,MRT Pink Line,"61,631",
6142,6142,25/10/2024,BTS Green Line,"793,475",
6143,6143,25/10/2024,BTS Gold Line,"6,628",
6144,6144,26/10/2024,SRT,"81,025",
6145,6145,26/10/2024,ARL,"53,998",
6146,6146,26/10/2024,Red Line,"26,245",
6147,6147,26/10/2024,MRT Blue Line,"324,822",
6148,6148,26/10/2024,MRT Purple Line,"45,132",
6149,6149,26/10/2024,MRT Yellow Line,"35,746",
6150,6150,26/10/2024,MRT Pink Line,"42,153",
6151,6151,26/10/2024,BTS Green Line,"625,621",
6152,6152,26/10/2024,BTS Gold Line,"6,900",
6153,6153,27/10/2024,SRT,"83,012",
6154,6154,27/10/2024,ARL,"50,480",
6155,6155,27/10/2024,Red Line,"25,010",
6156,6156,27/10/2024,MRT Blue Line,"281,185",
6157,6157,27/10/2024,MRT Purple Line,"38,312",
6158,6158,27/10/2024,MRT Yellow Line,"31,173",
6159,6159,27/10/2024,MRT Pink Line,"34,415",
6160,6160,27/10/2024,BTS Green Line,"527,044",
6161,6161,27/10/2024,BTS Gold Line,"6,118",
6162,6162,28/10/2024,SRT,"79,702",
6163,6163,28/10/2024,ARL,"73,370",
6164,6164,28/10/2024,Red Line,"36,948",
6165,6165,28/10/2024,MRT Blue Line,"468,087",
6166,6166,28/10/2024,MRT Purple Line,"80,192",
6167,6167,28/10/2024,MRT Yellow Line,"45,354",
6168,6168,28/10/2024,MRT Pink Line,"61,508",
6169,6169,28/10/2024,BTS Green Line,"794,159",
6170,6170,28/10/2024,BTS Gold Line,"6,038",
6171,6171,29/10/2024,SRT,"76,381",
6172,6172,29/10/2024,ARL,"75,140",
6173,6173,29/10/2024,Red Line,"37,473",
6174,6174,29/10/2024,MRT Blue Line,"495,201",
6175,6175,29/10/2024,MRT Purple Line,"82,026",
6176,6176,29/10/2024,MRT Yellow Line,"45,904",
6177,6177,29/10/2024,MRT Pink Line,"62,839",
6178,6178,29/10/2024,BTS Green Line,"825,717",
6179,6179,29/10/2024,BTS Gold Line,"5,266",
6180,6180,30/10/2024,SRT,"77,253",
6181,6181,30/10/2024,ARL,"75,101",
6182,6182,30/10/2024,Red Line,"37,547",
6183,6183,30/10/2024,MRT Blue Line,"504,122",
6184,6184,30/10/2024,MRT Purple Line,"82,724",
6185,6185,30/10/2024,MRT Yellow Line,"47,705",
6186,6186,30/10/2024,MRT Pink Line,"65,731",
6187,6187,30/10/2024,BTS Green Line,"840,712",
6188,6188,30/10/2024,BTS Gold Line,"5,688",
6189,6189,31/10/2024,SRT,"77,203",
6190,6190,31/10/2024,ARL,"79,267",
6191,6191,31/10/2024,Red Line,"38,399",
6192,6192,31/10/2024,MRT Blue Line,"527,935",
6193,6193,31/10/2024,MRT Purple Line,"84,043",
6194,6194,31/10/2024,MRT Yellow Line,"48,759",
6195,6195,31/10/2024,MRT Pink Line,"67,115",
6196,6196,31/10/2024,BTS Green Line,"888,124",
6197,6197,31/10/2024,BTS Gold Line,"6,562",
6198,6198,1/11/2024,SRT,"86,101",
6199,6199,1/11/2024,ARL,"78,396",
6200,6200,1/11/2024,Red Line,"41,964",
6201,6201,1/11/2024,MRT Blue Line,"536,946",
6202,6202,1/11/2024,MRT Purple Line,"85,489",
6203,6203,1/11/2024,MRT Yellow Line,"52,587",
6204,6204,1/11/2024,MRT Pink Line,"70,519",
6205,6205,1/11/2024,BTS Green Line,"990,914",
6206,6206,1/11/2024,BTS Gold Line,"7,220",
6207,6207,2/11/2024,SRT,"82,617",
6208,6208,2/11/2024,ARL,"60,512",
6209,6209,2/11/2024,Red Line,"29,433",
6210,6210,2/11/2024,MRT Blue Line,"390,142",
6211,6211,2/11/2024,MRT Purple Line,"56,441",
6212,6212,2/11/2024,MRT Yellow Line,"40,843",
6213,6213,2/11/2024,MRT Pink Line,"48,019",
6214,6214,2/11/2024,BTS Green Line,"705,167",
6215,6215,2/11/2024,BTS Gold Line,"8,867",
6216,6216,3/11/2024,SRT,"84,889",
6217,6217,3/11/2024,ARL,"53,692",
6218,6218,3/11/2024,Red Line,"25,620",
6219,6219,3/11/2024,MRT Blue Line,"318,728",
6220,6220,3/11/2024,MRT Purple Line,"41,355",
6221,6221,3/11/2024,MRT Yellow Line,"33,044",
6222,6222,3/11/2024,MRT Pink Line,"39,326",
6223,6223,3/11/2024,BTS Green Line,"543,391",
6224,6224,3/11/2024,BTS Gold Line,"6,284",
6225,6225,4/11/2024,SRT,"78,730",
6226,6226,4/11/2024,ARL,"74,134",
6227,6227,4/11/2024,Red Line,"38,389",
6228,6228,4/11/2024,MRT Blue Line,"491,710",
6229,6229,4/11/2024,MRT Purple Line,"81,448",
6230,6230,4/11/2024,MRT Yellow Line,"47,045",
6231,6231,4/11/2024,MRT Pink Line,"64,961",
6232,6232,4/11/2024,BTS Green Line,"808,311",
6233,6233,4/11/2024,BTS Gold Line,"6,292",
6234,6234,5/11/2024,SRT,"73,447",
6235,6235,5/11/2024,ARL,"74,824",
6236,6236,5/11/2024,Red Line,"37,761",
6237,6237,5/11/2024,MRT Blue Line,"511,381",
6238,6238,5/11/2024,MRT Purple Line,"83,888",
6239,6239,5/11/2024,MRT Yellow Line,"47,078",
6240,6240,5/11/2024,MRT Pink Line,"65,995",
6241,6241,5/11/2024,BTS Green Line,"836,713",
6242,6242,5/11/2024,BTS Gold Line,"5,989",
6243,6243,6/11/2024,SRT,"72,118",
6244,6244,6/11/2024,ARL,"74,122",
6245,6245,6/11/2024,Red Line,"37,163",
6246,6246,6/11/2024,MRT Blue Line,"515,018",
6247,6247,6/11/2024,MRT Purple Line,"83,821",
6248,6248,6/11/2024,MRT Yellow Line,"47,955",
6249,6249,6/11/2024,MRT Pink Line,"64,664",
6250,6250,6/11/2024,BTS Green Line,"829,733",
6251,6251,6/11/2024,BTS Gold Line,"5,930",
6252,6252,7/11/2024,SRT,"74,800",
6253,6253,7/11/2024,ARL,"75,107",
6254,6254,7/11/2024,Red Line,"38,970",
6255,6255,7/11/2024,MRT Blue Line,"514,608",
6256,6256,7/11/2024,MRT Purple Line,"82,579",
6257,6257,7/11/2024,MRT Yellow Line,"47,301",
6258,6258,7/11/2024,MRT Pink Line,"65,475",
6259,6259,7/11/2024,BTS Green Line,"840,737",
6260,6260,7/11/2024,BTS Gold Line,"6,373",
6261,6261,8/11/2024,SRT,"85,575",
6262,6262,8/11/2024,ARL,"78,487",
6263,6263,8/11/2024,Red Line,"46,309",
6264,6264,8/11/2024,MRT Blue Line,"537,940",
6265,6265,8/11/2024,MRT Purple Line,"84,565",
6266,6266,8/11/2024,MRT Yellow Line,"49,495",
6267,6267,8/11/2024,MRT Pink Line,"70,418",
6268,6268,8/11/2024,BTS Green Line,"885,855",
6269,6269,8/11/2024,BTS Gold Line,"8,170",
6270,6270,9/11/2024,SRT,"79,730",
6271,6271,9/11/2024,ARL,"62,349",
6272,6272,9/11/2024,Red Line,"35,920",
6273,6273,9/11/2024,MRT Blue Line,"399,652",
6274,6274,9/11/2024,MRT Purple Line,"50,953",
6275,6275,9/11/2024,MRT Yellow Line,"36,827",
6276,6276,9/11/2024,MRT Pink Line,"48,250",
6277,6277,9/11/2024,BTS Green Line,"672,505",
6278,6278,9/11/2024,BTS Gold Line,"7,992",
6279,6279,10/11/2024,SRT,"83,446",
6280,6280,10/11/2024,ARL,"54,846",
6281,6281,10/11/2024,Red Line,"26,299",
6282,6282,10/11/2024,MRT Blue Line,"321,571",
6283,6283,10/11/2024,MRT Purple Line,"41,744",
6284,6284,10/11/2024,MRT Yellow Line,"32,043",
6285,6285,10/11/2024,MRT Pink Line,"39,703",
6286,6286,10/11/2024,BTS Green Line,"548,494",
6287,6287,10/11/2024,BTS Gold Line,"6,850",
6288,6288,11/11/2024,SRT,"77,336",
6289,6289,11/11/2024,ARL,"73,381",
6290,6290,11/11/2024,Red Line,"37,915",
6291,6291,11/11/2024,MRT Blue Line,"491,063",
6292,6292,11/11/2024,MRT Purple Line,"79,389",
6293,6293,11/11/2024,MRT Yellow Line,"45,503",
6294,6294,11/11/2024,MRT Pink Line,"64,583",
6295,6295,11/11/2024,BTS Green Line,"803,613",
6296,6296,11/11/2024,BTS Gold Line,"6,566",
6297,6297,12/11/2024,SRT,"70,839",
6298,6298,12/11/2024,ARL,"75,539",
6299,6299,12/11/2024,Red Line,"36,657",
6300,6300,12/11/2024,MRT Blue Line,"514,811",
6301,6301,12/11/2024,MRT Purple Line,"82,386",
6302,6302,12/11/2024,MRT Yellow Line,"46,375",
6303,6303,12/11/2024,MRT Pink Line,"64,605",
6304,6304,12/11/2024,BTS Green Line,"831,693",
6305,6305,12/11/2024,BTS Gold Line,"6,177",
6306,6306,13/11/2024,SRT,"69,457",
6307,6307,13/11/2024,ARL,"74,439",
6308,6308,13/11/2024,Red Line,"36,828",
6309,6309,13/11/2024,MRT Blue Line,"516,922",
6310,6310,13/11/2024,MRT Purple Line,"81,256",
6311,6311,13/11/2024,MRT Yellow Line,"46,080",
6312,6312,13/11/2024,MRT Pink Line,"67,149",
6313,6313,13/11/2024,BTS Green Line,"831,566",
6314,6314,13/11/2024,BTS Gold Line,"6,495",
6315,6315,14/11/2024,SRT,"72,765",
6316,6316,14/11/2024,ARL,"76,008",
6317,6317,14/11/2024,Red Line,"37,909",
6318,6318,14/11/2024,MRT Blue Line,"521,064",
6319,6319,14/11/2024,MRT Purple Line,"81,532",
6320,6320,14/11/2024,MRT Yellow Line,"46,644",
6321,6321,14/11/2024,MRT Pink Line,"66,075",
6322,6322,14/11/2024,BTS Green Line,"849,940",
6323,6323,14/11/2024,BTS Gold Line,"8,352",
6324,6324,15/11/2024,SRT,"81,946",
6325,6325,15/11/2024,ARL,"81,748",
6326,6326,15/11/2024,Red Line,"45,067",
6327,6327,15/11/2024,MRT Blue Line,"558,165",
6328,6328,15/11/2024,MRT Purple Line,"86,279",
6329,6329,15/11/2024,MRT Yellow Line,"54,050",
6330,6330,15/11/2024,MRT Pink Line,"79,125",
6331,6331,15/11/2024,BTS Green Line,"971,068",
6332,6332,15/11/2024,BTS Gold Line,"22,153",
6333,6333,16/11/2024,SRT,"79,324",
6334,6334,16/11/2024,ARL,"55,310",
6335,6335,16/11/2024,Red Line,"27,837",
6336,6336,16/11/2024,MRT Blue Line,"339,927",
6337,6337,16/11/2024,MRT Purple Line,"45,861",
6338,6338,16/11/2024,MRT Yellow Line,"33,950",
6339,6339,16/11/2024,MRT Pink Line,"45,545",
6340,6340,16/11/2024,BTS Green Line,"590,084",
6341,6341,16/11/2024,BTS Gold Line,"9,034",
6342,6342,17/11/2024,SRT,"88,252",
6343,6343,17/11/2024,ARL,"48,838",
6344,6344,17/11/2024,Red Line,"24,452",
6345,6345,17/11/2024,MRT Blue Line,"268,725",
6346,6346,17/11/2024,MRT Purple Line,"37,701",
6347,6347,17/11/2024,MRT Yellow Line,"27,931",
6348,6348,17/11/2024,MRT Pink Line,"36,963",
6349,6349,17/11/2024,BTS Green Line,"494,009",
6350,6350,17/11/2024,BTS Gold Line,"7,415",
6351,6351,18/11/2024,SRT,"75,072",
6352,6352,18/11/2024,ARL,"73,449",
6353,6353,18/11/2024,Red Line,"36,625",
6354,6354,18/11/2024,MRT Blue Line,"483,582",
6355,6355,18/11/2024,MRT Purple Line,"81,134",
6356,6356,18/11/2024,MRT Yellow Line,"45,092",
6357,6357,18/11/2024,MRT Pink Line,"64,058",
6358,6358,18/11/2024,BTS Green Line,"794,423",
6359,6359,18/11/2024,BTS Gold Line,"6,804",
6360,6360,19/11/2024,SRT,"69,363",
6361,6361,19/11/2024,ARL,"76,073",
6362,6362,19/11/2024,Red Line,"36,162",
6363,6363,19/11/2024,MRT Blue Line,"506,261",
6364,6364,19/11/2024,MRT Purple Line,"83,943",
6365,6365,19/11/2024,MRT Yellow Line,"45,157",
6366,6366,19/11/2024,MRT Pink Line,"65,119",
6367,6367,19/11/2024,BTS Green Line,"832,865",
6368,6368,19/11/2024,BTS Gold Line,"6,436",
6369,6369,20/11/2024,SRT,"69,557",
6370,6370,20/11/2024,ARL,"74,202",
6371,6371,20/11/2024,Red Line,"36,845",
6372,6372,20/11/2024,MRT Blue Line,"503,479",
6373,6373,20/11/2024,MRT Purple Line,"81,780",
6374,6374,20/11/2024,MRT Yellow Line,"46,506",
6375,6375,20/11/2024,MRT Pink Line,"65,836",
6376,6376,20/11/2024,BTS Green Line,"832,189",
6377,6377,20/11/2024,BTS Gold Line,"6,617",
6378,6378,21/11/2024,SRT,"69,830",
6379,6379,21/11/2024,ARL,"75,073",
6380,6380,21/11/2024,Red Line,"37,169",
6381,6381,21/11/2024,MRT Blue Line,"502,638",
6382,6382,21/11/2024,MRT Purple Line,"81,428",
6383,6383,21/11/2024,MRT Yellow Line,"45,883",
6384,6384,21/11/2024,MRT Pink Line,"64,807",
6385,6385,21/11/2024,BTS Green Line,"836,704",
6386,6386,21/11/2024,BTS Gold Line,"6,766",
6387,6387,22/11/2024,SRT,"82,420",
6388,6388,22/11/2024,ARL,"77,375",
6389,6389,22/11/2024,Red Line,"40,307",
6390,6390,22/11/2024,MRT Blue Line,"514,819",
6391,6391,22/11/2024,MRT Purple Line,"82,249",
6392,6392,22/11/2024,MRT Yellow Line,"47,877",
6393,6393,22/11/2024,MRT Pink Line,"68,749",
6394,6394,22/11/2024,BTS Green Line,"862,783",
6395,6395,22/11/2024,BTS Gold Line,"9,494",
6396,6396,23/11/2024,SRT,"73,835",
6397,6397,23/11/2024,ARL,"63,921",
6398,6398,23/11/2024,Red Line,"28,902",
6399,6399,23/11/2024,MRT Blue Line,"382,761",
6400,6400,23/11/2024,MRT Purple Line,"49,217",
6401,6401,23/11/2024,MRT Yellow Line,"33,732",
6402,6402,23/11/2024,MRT Pink Line,"43,104",
6403,6403,23/11/2024,BTS Green Line,"640,522",
6404,6404,23/11/2024,BTS Gold Line,"8,267",
6405,6405,24/11/2024,SRT,"81,846",
6406,6406,24/11/2024,ARL,"50,372",
6407,6407,24/11/2024,Red Line,"23,819",
6408,6408,24/11/2024,MRT Blue Line,"264,245",
6409,6409,24/11/2024,MRT Purple Line,"37,069",
6410,6410,24/11/2024,MRT Yellow Line,"27,559",
6411,6411,24/11/2024,MRT Pink Line,"34,569",
6412,6412,24/11/2024,BTS Green Line,"510,029",
6413,6413,24/11/2024,BTS Gold Line,"6,610",
6414,6414,25/11/2024,SRT,"74,041",
6415,6415,25/11/2024,ARL,"74,802",
6416,6416,25/11/2024,Red Line,"38,775",
6417,6417,25/11/2024,MRT Blue Line,"473,853",
6418,6418,25/11/2024,MRT Purple Line,"82,077",
6419,6419,25/11/2024,MRT Yellow Line,"45,673",
6420,6420,25/11/2024,MRT Pink Line,"66,530",
6421,6421,25/11/2024,BTS Green Line,"818,103",
6422,6422,25/11/2024,BTS Gold Line,"7,142",
6423,6423,26/11/2024,SRT,"67,478",
6424,6424,26/11/2024,ARL,"75,333",
6425,6425,26/11/2024,Red Line,"37,895",
6426,6426,26/11/2024,MRT Blue Line,"493,210",
6427,6427,26/11/2024,MRT Purple Line,"82,833",
6428,6428,26/11/2024,MRT Yellow Line,"48,441",
6429,6429,26/11/2024,MRT Pink Line,"66,248",
6430,6430,26/11/2024,BTS Green Line,"841,328",
6431,6431,26/11/2024,BTS Gold Line,"6,544",
6432,6432,27/11/2024,SRT,"65,817",
6433,6433,27/11/2024,ARL,"74,875",
6434,6434,27/11/2024,Red Line,"37,874",
6435,6435,27/11/2024,MRT Blue Line,"506,934",
6436,6436,27/11/2024,MRT Purple Line,"82,873",
6437,6437,27/11/2024,MRT Yellow Line,"46,482",
6438,6438,27/11/2024,MRT Pink Line,"68,420",
6439,6439,27/11/2024,BTS Green Line,"838,935",
6440,6440,27/11/2024,BTS Gold Line,"7,110",
6441,6441,28/11/2024,SRT,"64,836",
6442,6442,28/11/2024,ARL,"75,273",
6443,6443,28/11/2024,Red Line,"37,991",
6444,6444,28/11/2024,MRT Blue Line,"502,802",
6445,6445,28/11/2024,MRT Purple Line,"82,446",
6446,6446,28/11/2024,MRT Yellow Line,"46,968",
6447,6447,28/11/2024,MRT Pink Line,"66,790",
6448,6448,28/11/2024,BTS Green Line,"851,623",
6449,6449,28/11/2024,BTS Gold Line,"6,493",
6450,6450,29/11/2024,SRT,"74,624",
6451,6451,29/11/2024,ARL,"78,823",
6452,6452,29/11/2024,Red Line,"42,298",
6453,6453,29/11/2024,MRT Blue Line,"528,397",
6454,6454,29/11/2024,MRT Purple Line,"85,565",
6455,6455,29/11/2024,MRT Yellow Line,"49,573",
6456,6456,29/11/2024,MRT Pink Line,"73,896",
6457,6457,29/11/2024,BTS Green Line,"924,010",
6458,6458,29/11/2024,BTS Gold Line,"9,555",
6459,6459,30/11/2024,SRT,"66,874",
6460,6460,30/11/2024,ARL,"61,322",
6461,6461,30/11/2024,Red Line,"29,313",
6462,6462,30/11/2024,MRT Blue Line,"374,371",
6463,6463,30/11/2024,MRT Purple Line,"52,602",
6464,6464,30/11/2024,MRT Yellow Line,"43,729",
6465,6465,30/11/2024,MRT Pink Line,"50,126",
6466,6466,30/11/2024,BTS Green Line,"712,523",
6467,6467,30/11/2024,BTS Gold Line,"8,587",
6468,6468,1/12/2024,SRT,"74,188",
6469,6469,1/12/2024,ARL,"54,672",
6470,6470,1/12/2024,Red Line,"26,264",
6471,6471,1/12/2024,MRT Blue Line,"318,650",
6472,6472,1/12/2024,MRT Purple Line,"43,880",
6473,6473,1/12/2024,MRT Yellow Line,"43,187",
6474,6474,1/12/2024,MRT Pink Line,"43,566",
6475,6475,1/12/2024,BTS Green Line,"607,261",
6476,6476,1/12/2024,BTS Gold Line,"9,699",
6477,6477,2/12/2024,SRT,"68,936",
6478,6478,2/12/2024,ARL,"74,831",
6479,6479,2/12/2024,Red Line,"38,935",
6480,6480,2/12/2024,MRT Blue Line,"484,333",
6481,6481,2/12/2024,MRT Purple Line,"84,759",
6482,6482,2/12/2024,MRT Yellow Line,"50,235",
6483,6483,2/12/2024,MRT Pink Line,"68,906",
6484,6484,2/12/2024,BTS Green Line,"822,691",
6485,6485,2/12/2024,BTS Gold Line,"6,465",
6486,6486,3/12/2024,SRT,"64,231",
6487,6487,3/12/2024,ARL,"75,775",
6488,6488,3/12/2024,Red Line,"38,111",
6489,6489,3/12/2024,MRT Blue Line,"501,412",
6490,6490,3/12/2024,MRT Purple Line,"87,240",
6491,6491,3/12/2024,MRT Yellow Line,"48,842",
6492,6492,3/12/2024,MRT Pink Line,"68,972",
6493,6493,3/12/2024,BTS Green Line,"849,877",
6494,6494,3/12/2024,BTS Gold Line,"6,275",
6495,6495,4/12/2024,SRT,"73,333",
6496,6496,4/12/2024,ARL,"78,134",
6497,6497,4/12/2024,Red Line,"40,771",
6498,6498,4/12/2024,MRT Blue Line,"515,951",
6499,6499,4/12/2024,MRT Purple Line,"84,952",
6500,6500,4/12/2024,MRT Yellow Line,"52,092",
6501,6501,4/12/2024,MRT Pink Line,"71,046",
6502,6502,4/12/2024,BTS Green Line,"869,968",
6503,6503,4/12/2024,BTS Gold Line,"7,856",
6504,6504,5/12/2024,SRT,"71,087",
6505,6505,5/12/2024,ARL,"49,973",
6506,6506,5/12/2024,Red Line,"22,086",
6507,6507,5/12/2024,MRT Blue Line,"269,987",
6508,6508,5/12/2024,MRT Purple Line,"36,640",
6509,6509,5/12/2024,MRT Yellow Line,"41,049",
6510,6510,5/12/2024,MRT Pink Line,"37,118",
6511,6511,5/12/2024,BTS Green Line,"499,919",
6512,6512,5/12/2024,BTS Gold Line,"7,845",
6513,6513,6/12/2024,SRT,"81,699",
6514,6514,6/12/2024,ARL,"73,412",
6515,6515,6/12/2024,Red Line,"39,625",
6516,6516,6/12/2024,MRT Blue Line,"476,373",
6517,6517,6/12/2024,MRT Purple Line,"78,400",
6518,6518,6/12/2024,MRT Yellow Line,"49,809",
6519,6519,6/12/2024,MRT Pink Line,"67,202",
6520,6520,6/12/2024,BTS Green Line,"812,796",
6521,6521,6/12/2024,BTS Gold Line,"9,430",
6522,6522,7/12/2024,SRT,"73,505",
6523,6523,7/12/2024,ARL,"56,208",
6524,6524,7/12/2024,Red Line,"29,525",
6525,6525,7/12/2024,MRT Blue Line,"346,630",
6526,6526,7/12/2024,MRT Purple Line,"46,780",
6527,6527,7/12/2024,MRT Yellow Line,"40,737",
6528,6528,7/12/2024,MRT Pink Line,"43,815",
6529,6529,7/12/2024,BTS Green Line,"601,904",
6530,6530,7/12/2024,BTS Gold Line,"8,175",
6531,6531,8/12/2024,SRT,"81,458",
6532,6532,8/12/2024,ARL,"49,751",
6533,6533,8/12/2024,Red Line,"28,723",
6534,6534,8/12/2024,MRT Blue Line,"281,097",
6535,6535,8/12/2024,MRT Purple Line,"39,288",
6536,6536,8/12/2024,MRT Yellow Line,"38,910",
6537,6537,8/12/2024,MRT Pink Line,"38,680",
6538,6538,8/12/2024,BTS Green Line,"522,748",
6539,6539,8/12/2024,BTS Gold Line,"6,172",
6540,6540,9/12/2024,SRT,"73,349",
6541,6541,9/12/2024,ARL,"70,478",
6542,6542,9/12/2024,Red Line,"36,514",
6543,6543,9/12/2024,MRT Blue Line,"446,573",
6544,6544,9/12/2024,MRT Purple Line,"74,566",
6545,6545,9/12/2024,MRT Yellow Line,"47,553",
6546,6546,9/12/2024,MRT Pink Line,"62,826",
6547,6547,9/12/2024,BTS Green Line,"765,144",
6548,6548,9/12/2024,BTS Gold Line,"7,427",
6549,6549,10/12/2024,SRT,"63,525",
6550,6550,10/12/2024,ARL,"53,733",
6551,6551,10/12/2024,Red Line,"25,474",
6552,6552,10/12/2024,MRT Blue Line,"294,620",
6553,6553,10/12/2024,MRT Purple Line,"44,973",
6554,6554,10/12/2024,MRT Yellow Line,"45,354",
6555,6555,10/12/2024,MRT Pink Line,"39,343",
6556,6556,10/12/2024,BTS Green Line,"543,257",
6557,6557,10/12/2024,BTS Gold Line,"6,357",
6558,6558,11/12/2024,SRT,"69,621",
6559,6559,11/12/2024,ARL,"74,863",
6560,6560,11/12/2024,Red Line,"38,482",
