_id,No.,Date,Organization,Number_Passenger,Note
507,507,12/12/2022,Red Line,"12,562",
508,508,12/12/2022,MRT Blue Line,"210,151",
509,509,12/12/2022,MRT Purple Line,"22,977",
510,510,12/12/2022,BTS Green Line,"521,572",
511,511,12/12/2022,BTS Gold Line,"5,788",
512,512,13/12/2022,SRT,"59,835",
513,513,13/12/2022,ARL,"64,528",
514,514,13/12/2022,Red Line,"19,984",
515,515,13/12/2022,MRT Blue Line,"401,403",
516,516,13/12/2022,MRT Purple Line,"47,800",
517,517,13/12/2022,BTS Green Line,"782,851",
518,518,13/12/2022,BTS Gold Line,"4,717",
519,519,14/12/2022,SRT,"56,739",
520,520,14/12/2022,ARL,"63,276",
521,521,14/12/2022,Red Line,"20,644",
522,522,14/12/2022,MRT Blue Line,"396,268",
523,523,14/12/2022,MRT Purple Line,"47,778",
524,524,14/12/2022,BTS Green Line,"794,411",
525,525,14/12/2022,BTS Gold Line,"4,973",
526,526,15/12/2022,SRT,"57,679",
527,527,15/12/2022,ARL,"62,939",
528,528,15/12/2022,Red Line,"19,820",
529,529,15/12/2022,MRT Blue Line,"404,765",
530,530,15/12/2022,MRT Purple Line,"49,538",
531,531,15/12/2022,BTS Green Line,"790,403",
532,532,15/12/2022,BTS Gold Line,"5,163",
533,533,16/12/2022,SRT,"69,627",
534,534,16/12/2022,ARL,"65,689",
535,535,16/12/2022,Red Line,"21,267",
536,536,16/12/2022,MRT Blue Line,"423,498",
537,537,16/12/2022,MRT Purple Line,"49,278",
538,538,16/12/2022,BTS Green Line,"845,418",
539,539,16/12/2022,BTS Gold Line,"6,743",
540,540,17/12/2022,SRT,"59,253",
541,541,17/12/2022,ARL,"53,793",
542,542,17/12/2022,Red Line,"14,408",
543,543,17/12/2022,MRT Blue Line,"304,244",
544,544,17/12/2022,MRT Purple Line,"31,333",
545,545,17/12/2022,BTS Green Line,"704,690",
546,546,17/12/2022,BTS Gold Line,"7,414",
547,547,18/12/2022,SRT,"57,356",
548,548,18/12/2022,ARL,"51,338",
549,549,18/12/2022,Red Line,"13,175",
550,550,18/12/2022,MRT Blue Line,"244,463",
551,551,18/12/2022,MRT Purple Line,"24,756",
552,552,18/12/2022,BTS Green Line,"630,103",
553,553,18/12/2022,BTS Gold Line,"6,839",
554,554,19/12/2022,SRT,"54,301",
555,555,19/12/2022,ARL,"60,838",
556,556,19/12/2022,Red Line,"18,763",
557,557,19/12/2022,MRT Blue Line,"376,448",
558,558,19/12/2022,MRT Purple Line,"48,256",
559,559,19/12/2022,BTS Green Line,"738,436",
560,560,19/12/2022,BTS Gold Line,"5,553",
561,561,20/12/2022,SRT,"52,928",
562,562,20/12/2022,ARL,"61,047",
563,563,20/12/2022,Red Line,"19,189",
564,564,20/12/2022,MRT Blue Line,"359,813",
565,565,20/12/2022,MRT Purple Line,"46,352",
566,566,20/12/2022,BTS Green Line,"726,647",
567,567,20/12/2022,BTS Gold Line,"5,443",
568,568,21/12/2022,SRT,"53,725",
569,569,21/12/2022,ARL,"60,619",
570,570,21/12/2022,Red Line,"18,466",
571,571,21/12/2022,MRT Blue Line,"369,902",
572,572,21/12/2022,MRT Purple Line,"45,927",
573,573,21/12/2022,BTS Green Line,"764,708",
574,574,21/12/2022,BTS Gold Line,"5,955",
575,575,22/12/2022,SRT,"54,687",
576,576,22/12/2022,ARL,"61,002",
577,577,22/12/2022,Red Line,"19,190",
578,578,22/12/2022,MRT Blue Line,"360,787",
579,579,22/12/2022,MRT Purple Line,"45,954",
580,580,22/12/2022,BTS Green Line,"786,243",
581,581,22/12/2022,BTS Gold Line,"7,297",
